date,value,memo,feed_flow_kg_h,steam_flow_kg_h,distillate_flow_kg_h,reflux_ratio,product_purity_pct,top_temperature_c,bottom_temperature_c,operating_status
2026-03-30,1.353,제품 순도 확보를 위해 환류비 상향,1002.31,333.34,246.28,2.66,97.04,81.72,109.78,NORMAL
2026-03-31,1.42,제품 순도 확보를 위해 환류비 상향,1014.68,361.89,254.93,2.6,96.72,81.85,109.59,NORMAL
2026-04-01,1.405,제품 순도 확보를 위해 환류비 상향,1022.45,349.34,248.57,2.5,96.98,82.08,109.34,NORMAL
2026-04-02,1.4,제품 순도 확보를 위해 환류비 상향,1008.99,361.95,258.44,2.68,97.22,81.62,109.07,NORMAL
2026-04-03,1.414,제품 순도 확보를 위해 환류비 상향,1025.26,370.3,261.94,2.58,97.12,82.05,109.05,NORMAL
2026-04-04,1.423,제품 순도 확보를 위해 환류비 상향,987.6,351.48,247.0,2.47,97.22,81.91,109.24,NORMAL
2026-04-05,1.397,제품 순도 확보를 위해 환류비 상향,978.59,347.95,249.07,2.65,96.79,81.82,109.35,NORMAL
2026-04-06,1.374,제품 순도 확보를 위해 환류비 상향,1008.34,340.91,248.18,2.52,97.04,81.89,109.99,NORMAL
2026-04-07,1.414,제품 순도 확보를 위해 환류비 상향,1028.68,358.85,253.8,2.63,97.0,82.05,109.29,NORMAL
2026-04-08,1.375,제품 순도 확보를 위해 환류비 상향,1006.42,338.81,246.46,2.7,97.08,82.05,109.65,NORMAL
2026-04-09,1.423,제품 순도 확보를 위해 환류비 상향,996.45,358.49,251.91,2.49,97.02,82.09,109.53,NORMAL
2026-04-10,1.419,제품 순도 확보를 위해 환류비 상향,1019.83,346.43,244.17,2.48,97.28,81.67,109.97,NORMAL
2026-04-11,1.293,열교환 성능 저하에 따른 스팀 원단위 상승,1013.45,338.02,261.52,2.31,95.93,82.54,109.81,NORMAL
2026-04-12,1.308,열교환 성능 저하에 따른 스팀 원단위 상승,1019.35,340.9,260.57,2.38,95.81,82.05,109.99,NORMAL
2026-04-13,1.309,열교환 성능 저하에 따른 스팀 원단위 상승,988.13,324.44,247.8,2.38,95.77,82.36,109.8,NORMAL
2026-04-14,1.306,열교환 성능 저하에 따른 스팀 원단위 상승,1026.76,324.04,248.06,2.28,96.18,82.03,109.44,NORMAL
2026-04-15,1.313,열교환 성능 저하에 따른 스팀 원단위 상승,1027.03,339.36,258.53,2.28,95.79,82.1,110.02,NORMAL
2026-04-16,1.311,열교환 성능 저하에 따른 스팀 원단위 상승,1009.77,332.33,253.4,2.31,95.73,82.61,109.25,NORMAL
2026-04-17,1.312,열교환 성능 저하에 따른 스팀 원단위 상승,1022.18,322.55,245.89,2.23,95.83,82.14,109.79,NORMAL
2026-04-18,1.332,열교환 성능 저하에 따른 스팀 원단위 상승,970.89,342.37,256.96,2.31,96.07,82.38,109.93,NORMAL
2026-04-19,1.335,열교환 성능 저하에 따른 스팀 원단위 상승,976.54,333.89,250.09,2.29,96.18,82.05,109.57,NORMAL
2026-04-20,1.359,열교환 성능 저하에 따른 스팀 원단위 상승,1011.17,339.39,249.77,2.26,96.02,82.44,109.39,NORMAL
2026-04-21,1.342,열교환 성능 저하에 따른 스팀 원단위 상승,1001.83,333.97,248.89,2.35,96.06,82.17,109.54,NORMAL
2026-04-22,1.344,열교환 성능 저하에 따른 스팀 원단위 상승,990.34,334.45,248.88,2.23,96.16,82.05,110.0,NORMAL
2026-04-23,1.373,열교환 성능 저하에 따른 스팀 원단위 상승,975.79,351.13,255.73,2.22,95.88,82.53,109.9,NORMAL
2026-04-24,1.376,열교환 성능 저하에 따른 스팀 원단위 상승,1013.26,359.44,261.24,2.24,95.75,82.68,109.44,NORMAL
2026-04-25,1.364,열교환 성능 저하에 따른 스팀 원단위 상승,1004.45,351.16,257.37,2.21,96.16,82.66,109.32,NORMAL
2026-04-26,1.371,열교환 성능 저하에 따른 스팀 원단위 상승,1012.16,336.58,245.42,2.23,96.02,82.02,109.9,NORMAL
2026-04-27,1.379,열교환 성능 저하에 따른 스팀 원단위 상승,995.19,339.52,246.18,2.21,95.78,82.49,109.81,NORMAL
2026-04-28,1.378,열교환 성능 저하에 따른 스팀 원단위 상승,1009.72,344.12,249.66,2.26,96.04,82.39,109.8,NORMAL
2026-04-29,1.394,열교환 성능 저하에 따른 스팀 원단위 상승,993.72,351.93,252.38,2.27,95.7,82.6,109.21,NORMAL
2026-04-30,1.406,열교환 성능 저하에 따른 스팀 원단위 상승,1012.22,351.56,250.01,2.2,96.16,82.69,109.69,ABNORMAL
2026-05-01,1.402,열교환 성능 저하에 따른 스팀 원단위 상승,1012.57,347.8,248.02,2.37,96.16,82.07,110.01,ABNORMAL
2026-05-02,1.411,열교환 성능 저하에 따른 스팀 원단위 상승,1005.33,353.68,250.58,2.3,95.76,82.41,110.09,ABNORMAL
2026-05-03,1.422,열교환 성능 저하에 따른 스팀 원단위 상승,1013.64,366.34,257.65,2.35,96.03,82.14,109.93,ABNORMAL
2026-05-04,1.426,열교환 성능 저하에 따른 스팀 원단위 상승,1015.27,365.46,256.24,2.37,96.01,82.12,109.08,ABNORMAL
2026-05-05,1.437,열교환 성능 저하에 따른 스팀 원단위 상승,988.17,351.59,244.59,2.37,95.74,82.69,110.03,ABNORMAL
2026-05-06,1.28,열교환기 정비 완료 후 시험 운전,650,198.4,155,2.2,95.7,82.5,109.1,MAINTENANCE
2026-05-07,1.167,정비 후 정상 운전,1009.11,286.84,245.72,2.1,96.53,82.1,108.14,NORMAL
2026-05-08,1.155,정비 후 정상 운전,996.27,286.97,248.55,2.1,96.46,82.27,108.52,NORMAL
2026-05-09,1.218,정비 후 정상 운전,975.67,309.65,254.28,2.1,96.45,81.88,108.28,NORMAL
2026-05-10,1.198,정비 후 정상 운전,1011.91,296.39,247.41,2.17,96.5,82.3,108.59,NORMAL
2026-05-11,1.155,정비 후 정상 운전,1001.58,292.9,253.5,2.19,96.39,81.94,108.11,NORMAL
2026-05-12,1.208,정비 후 정상 운전,1020.67,290.48,240.43,2.16,96.18,82.03,108.13,NORMAL
2026-05-13,1.187,정비 후 정상 운전,1016.27,305.65,257.42,2.12,96.27,82.25,108.36,NORMAL
2026-05-14,1.218,정비 후 정상 운전,988.57,313.43,257.41,2.12,96.27,82.03,108.42,NORMAL
2026-05-15,1.203,정비 후 정상 운전,1019.01,309.56,257.23,2.07,96.61,82.31,108.23,NORMAL
2026-05-16,1.167,정비 후 정상 운전,986.37,302.97,259.73,2.1,96.12,81.83,108.4,NORMAL
2026-05-17,1.16,정비 후 정상 운전,1029.67,286.45,247.0,2.07,96.27,82.3,108.56,NORMAL
2026-05-18,1.171,정비 후 정상 운전,1012.33,291.33,248.77,2.16,96.42,81.87,108.23,NORMAL
2026-05-19,1.18,정비 후 정상 운전,972.86,292.74,248.08,2.05,96.41,81.95,108.11,NORMAL
2026-05-20,1.177,정비 후 정상 운전,1006.89,287.0,243.77,2.13,96.4,82.39,108.44,NORMAL
2026-05-21,1.173,정비 후 정상 운전,998.21,297.14,253.26,2.16,96.48,82.26,108.59,NORMAL
2026-05-22,1.182,정비 후 정상 운전,972.66,296.81,251.1,2.14,96.59,81.84,108.62,NORMAL
2026-05-23,1.175,정비 후 정상 운전,987.61,280.88,239.05,2.13,96.25,82.25,108.15,NORMAL
2026-05-24,1.185,정비 후 정상 운전,1016.85,306.61,258.78,2.18,96.33,82.38,108.4,NORMAL
2026-05-25,1.171,정비 후 정상 운전,1025.46,293.41,250.46,2.13,96.29,81.85,108.53,NORMAL
2026-05-26,1.155,정비 후 정상 운전,1006.16,286.76,248.23,2.2,96.26,82.39,108.76,NORMAL
2026-05-27,1.176,정비 후 정상 운전,1008.25,290.05,246.72,2.17,96.12,81.84,108.62,NORMAL
2026-05-28,1.167,정비 후 정상 운전,992.97,293.75,251.61,2.14,96.42,82.04,108.52,NORMAL
2026-05-29,1.184,정비 후 정상 운전,976.81,302.8,255.66,2.12,96.7,81.97,108.73,NORMAL
2026-05-30,1.188,정비 후 정상 운전,977.36,307.05,258.47,2.18,96.29,82.01,108.05,NORMAL
2026-05-31,1.152,정비 후 정상 운전,1023.48,297.67,258.43,2.07,96.22,81.88,108.63,NORMAL
2026-06-01,1.208,정비 후 정상 운전,1003.24,298.11,246.85,2.2,96.53,82.12,108.62,NORMAL
2026-06-02,1.18,정비 후 정상 운전,974.43,308.45,261.34,2.17,96.48,81.91,108.77,NORMAL
2026-06-03,1.168,정비 후 정상 운전,1024.64,279.43,239.33,2.1,96.66,82.34,108.68,NORMAL
2026-06-04,1.192,정비 후 정상 운전,1008.1,299.54,251.22,2.19,96.19,82.2,108.58,NORMAL
2026-06-05,1.185,정비 후 정상 운전,1020.55,298.02,251.53,2.15,96.56,82.05,108.51,NORMAL
2026-06-06,1.164,정비 후 정상 운전,1007.63,285.19,244.95,2.06,96.14,82.06,108.39,NORMAL
2026-06-07,1.169,정비 후 정상 운전,1006.4,286.92,245.5,2.11,96.44,81.99,108.37,NORMAL
2026-06-08,1.203,정비 후 정상 운전,984.88,289.21,240.32,2.07,96.3,82.15,108.25,NORMAL
2026-06-09,1.185,정비 후 정상 운전,999.9,296.58,250.35,2.2,96.23,82.01,108.04,NORMAL
2026-06-10,1.242,정상 운전,1022.94,315.04,253.7,2.09,96.18,82.48,108.49,NORMAL
2026-06-11,1.219,정상 운전,1013.65,312.4,256.33,2.07,96.08,82.26,108.28,NORMAL
2026-06-12,1.67,스팀 원단위 상승 및 제품 순도 기준 미달,974.41,417.73,250.1,2.99,94.19,84.79,110.34,ABNORMAL
2026-06-13,1.203,정상 운전,1015.3,292.14,242.78,2.1,96.15,81.84,108.22,NORMAL
2026-06-14,1.191,정상 운전,998.42,296.61,248.97,2.12,96.16,82.06,108.65,NORMAL
2026-06-15,1.677,스팀 원단위 상승 및 제품 순도 기준 미달,1029.44,428.83,255.74,2.79,94.62,84.37,110.67,ABNORMAL
2026-06-16,1.248,정상 운전,1005.02,320.81,257.12,2.15,96.28,81.82,108.53,NORMAL
2026-06-17,1.224,정상 운전,1016.97,314.12,256.63,2.12,96.3,82.27,108.25,NORMAL
2026-06-18,1.188,정상 운전,1007.18,306.65,258.19,2.03,96.28,81.83,108.95,NORMAL
2026-06-19,1.553,스팀 원단위 상승 및 제품 순도 기준 미달,971.14,381.35,245.53,2.96,94.54,84.06,110.14,ABNORMAL
2026-06-20,1.204,정상 운전,989.5,305.68,253.89,2.11,96.02,81.94,108.92,NORMAL
2026-06-21,1.193,정상 운전,991.26,306.16,256.53,2.14,96.25,82.35,108.65,NORMAL
2026-06-22,1.195,정상 운전,984.79,300.29,251.39,2.04,96.48,82.04,108.36,NORMAL
2026-06-23,1.673,스팀 원단위 상승 및 제품 순도 기준 미달,1012.3,410.84,245.61,2.9,94.18,84.98,110.82,ABNORMAL
2026-06-24,1.198,정상 운전,1018.28,293.46,244.97,2.06,96.3,82.08,108.5,NORMAL
2026-06-25,1.223,정상 운전,998.74,297.03,242.85,2.11,96.45,82.36,108.22,NORMAL
2026-06-26,1.209,정상 운전,1005.21,294.76,243.82,2.13,96.17,82.31,108.15,NORMAL
2026-06-27,1.674,스팀 원단위 상승 및 제품 순도 기준 미달,1013.04,402.51,240.41,2.98,94.68,84.48,110.2,ABNORMAL
2026-06-28,1.231,정상 운전,989.27,311.96,253.5,2.18,95.86,82.26,108.58,NORMAL
2026-06-29,1.25,정상 운전,1026.2,324.85,259.92,2.04,96.42,81.94,108.93,NORMAL
